POSITION,DEPARTMENT,MONTH_TOTAL,VACATION_13TH_SALARY,EVENTUAL PAYMENTS,PAYED_PREMIUM_LEAVE,OTHER_INDEMNITIES,WAGE_REDUCER,NET_TOTAL,STATUS,MONTH,YEAR
PROCURADOR DO ESTADO NIVEL V,PROCURADORIA GERAL DO ESTADO,40812.34,638.52,7662.18,"0,00",0.0,-1519.03,29958.63,ATIVOS,JANUARY,2023
TECNICO DE PROTE  O E DEFESA D,FUNDACAO PROCON,4783.53,0.0,0.0,"0,00",0.0,0.0,3960.6,ATIVOS,MAY,2023
AN ADM I(G SET),CETESB-CIA.AMBIENTAL EST.S.P.,15577.11,0.0,0.0,"0,00",0.0,0.0,8515.89,ATIVOS,MAY,2023
OFICIAL AP.PESQ.CIENT.TECNOL.,SEC.MEIO AMB. INFRA.LOGIST.,3074.22,0.0,0.0,"0,00",215.54,0.0,2544.83,ATIVOS,APRIL,2023
CONTRABAIXO A,FUND.PE.ANCHIETA-C.P.RADIO TV.,0.0,7602.07,206.56,"0,00",0.0,0.0,87.88,ATIVOS,JANUARY,2023
PESQUISADOR II,INST.PESQ.TEC.EST.SP IPT,14512.79,0.0,0.0,"0,00",0.0,0.0,6195.78,ATIVOS,MARCH,2023
ESPEC.REGUL.FIS.SERV.PUB. VI,AG.REG.SERV.PUB.EST.SP ARSESP,23035.65,14333.29,0.0,"0,00",14333.29,0.0,39756.18,ATIVOS,FEBRUARY,2023
ASSIST. TEC. PREVIDENCIARIO I,SAO PAULO PREVIDENCIA   SPPREV,4916.01,0.0,0.0,"0,00",0.0,0.0,4047.36,ATIVOS,APRIL,2023
AUXILIAR DE ENFERMAGEM,SECRETARIA DA SAUDE,5106.35,682.7,0.0,"0,00",245.52,0.0,3321.07,ATIVOS,JUNE,2023
AUXILIAR SERV.GERAIS,DEPARTAM.ESTRADAS RODAGEM DER,2703.15,0.0,0.0,"0,00",0.0,0.0,1933.53,ATIVOS,JANUARY,2023
DIRETOR DE DEPARTAMENTO,SEC.TRANSPORTES METROPOLITANOS,8332.54,0.0,0.0,"0,00",0.0,0.0,4208.54,ATIVOS,MARCH,2023
ASSESSOR TECNICO ESPECIAL,FUNDACAO DESENV.EDUCACAO-FDE,13247.62,0.0,0.0,"0,00",0.0,0.0,9695.27,ATIVOS,JANUARY,2023
AGENTE ESTADUAL DE TRANSITO I,DEPTO. EST. TRANSITO DETRAN SP,5379.41,0.0,0.0,"0,00",0.0,0.0,2901.79,ATIVOS,JANUARY,2023
AG.APOIO PESQ.CIENT.TECNOL.,SEC.MEIO AMB. INFRA.LOGIST.,3986.97,0.0,0.0,"0,00",130.77,0.0,2655.77,ATIVOS,AUGUST,2023
ANALISTA SOCIOCULTURAL,SECRETARIA DE ESPORTES,4058.01,2029.0,0.0,"0,00",725.36,0.0,5583.23,ATIVOS,MARCH,2023
OPERADOR PRODUCAO,"FUND.REM.POP.""C.T.LIMA""-FURP",3125.06,0.0,0.0,"0,00",0.0,0.0,2868.9,ATIVOS,JUNE,2023
DIRETOR I,SECRETARIA DA SAUDE,6194.4,0.0,210.0,"0,00",77.09,0.0,3723.64,ATIVOS,MAY,2023
TEC. EM INFORMATICA II A,FITESP-JOSE GOMES DA SILVA,2762.5,0.0,0.0,"0,00",0.0,0.0,2116.49,ATIVOS,MARCH,2023
OFICIAL ADMINISTRATIVO,DEPT.ESTAD.TRANSITO DETRAN SP,2734.5,0.0,0.0,"0,00",240.73,0.0,1679.99,ATIVOS,APRIL,2023
SUPERV DE MAQUIAGEM,FUND.PE.ANCHIETA-C.P.RADIO TV.,5819.01,0.0,0.0,"0,00",0.0,0.0,3929.12,ATIVOS,APRIL,2023
ANAL REC AMB(AS DIR),FUND.CONS.PR.FLOR.EST.SP F.FL.,15554.05,0.0,0.0,"0,00",0.0,0.0,10437.1,ATIVOS,AUGUST,2023
AUDITOR FISCAL DA RECEITA EST,SECRET. FAZENDA PLANEJAMENTO,27352.02,9117.33,0.0,"0,00",10278.0,0.0,35535.12,ATIVOS,JUNE,2023
TEC. EM DESENV. AGRARIO R7,FITESP-JOSE GOMES DA SILVA,6602.68,0.0,0.0,"0,00",0.0,0.0,5109.3,ATIVOS,FEBRUARY,2023
